Rank;Country/Territory;Capital;Continent; Population_2024 ; Population_2022 ; Population_2020 ; Population_2015 ; Population_2010 ; Population_2000 ; Area (km²) ; Density (per km²) ; Growth_Rate ; Growth_Absolute ;Growth_Percent; Population World
143;Qatar;Doha;Asia; 3.048.423 ; 2.695.122 ; 2.760.385 ; 2.414.573 ; 1.713.504 ; 645.937 ; 11.586 ; 2.326.189 ; 10.026 ; 2.402.486 ;372%; 3
97;United Arab Emirates;Abu Dhabi;Asia; 11.027.129 ; 9.441.129 ; 9.287.289 ; 8.916.899 ; 8.481.771 ; 3.275.333 ; 83.600 ; 1.129.322 ; 10.081 ; 7.751.796 ;237%; 12
152;Equatorial Guinea;Malabo;Africa; 1.892.516 ; 1.674.908 ; 1.596.049 ; 1.346.973 ; 1.094.524 ; 684.977 ; 28.051 ; 597.094 ; 10.247 ; 1.207.539 ;176%; 2
129;Kuwait;Kuwait City;Asia; 4.934.507 ; 4.268.873 ; 4.360.444 ; 3.908.743 ; 2.943.356 ; 1.934.901 ; 17.818 ; 2.395.821 ; 10.044 ; 2.999.606 ;155%; 5
69;Chad;N'Djamena;Africa; 20.299.123 ; 17.723.315 ; 16.644.701 ; 14.140.274 ; 11.894.727 ; 8.259.137 ; 1.284.000 ; 138.032 ; 10.316 ; 12.039.986 ;146%; 22
54;Niger;Niamey;Africa; 27.032.412 ; 26.207.977 ; 24.333.639 ; 20.128.124 ; 16.647.543 ; 11.622.665 ; 1.267.000 ; 206.851 ; 10.378 ; 15.409.747 ;133%; 33
42;Angola;Luanda;Africa; 37.885.849 ; 35.588.987 ; 33.428.485 ; 28.127.721 ; 23.364.185 ; 16.394.062 ; 1.246.700 ; 285.466 ; 10.315 ; 21.491.787 ;131%; 45
83;Jordan;Amman;Asia; 11.552.876 ; 11.285.869 ; 10.928.721 ; 9.494.246 ; 6.931.258 ; 5.056.174 ; 89.342 ; 1.263.221 ; 10.123 ; 6.496.702 ;128%; 14
154;Bahrain;Manama;Asia; 1.607.049 ; 1.472.233 ; 1.477.469 ; 1.362.142 ; 1.213.645 ; 711.442 ; 765 ; 19.244.876 ; 10.061 ; 895.607 ;126%; 2
127;Oman;Muscat;Asia; 5.281.538 ; 4.576.298 ; 4.543.399 ; 4.191.776 ; 2.881.914 ; 2.344.253 ; 309.500 ; 147.861 ; 10.123 ; 2.937.285 ;125%; 6
15;DR Congo;Kinshasa;Africa; 109.276.265 ; 99.010.212 ; 92.853.164 ; 78.656.904 ; 66.391.257 ; 48.616.317 ; 2.344.858 ; 422.244 ; 10.325 ; 60.659.948 ;125%; 124
78;Burundi;Bujumbura;Africa; 14.047.786 ; 12.889.576 ; 12.220.227 ; 10.727.148 ; 9.126.605 ; 6.307.659 ; 27.834 ; 4.630.874 ; 1.027 ; 7.740.127 ;123%; 16
36;Afghanistan;Kabul;Asia; 42.647.492 ; 41.128.771 ; 38.972.230 ; 33.753.499 ; 28.189.672 ; 19.542.982 ; 652.230 ; 630.587 ; 10.257 ; 23.104.510 ;118%; 52
70;Somalia;Mogadishu;Africa; 19.009.151 ; 17.597.511 ; 16.537.016 ; 13.763.906 ; 12.026.649 ; 8.721.465 ; 637.657 ; 275.971 ; 10.312 ; 10.287.686 ;118%; 22
46;Yemen;Sanaa;Asia; 40.583.164 ; 33.696.614 ; 32.284.046 ; 28.516.545 ; 24.743.946 ; 18.628.700 ; 527.968 ; 638.232 ; 10.217 ; 21.954.464 ;118%; 42
59;Mali;Bamako;Africa; 24.478.595 ; 22.593.590 ; 21.224.040 ; 18.112.907 ; 15.529.181 ; 11.239.101 ; 1.240.192 ; 182.178 ; 10.314 ; 13.239.494 ;118%; 28
63;Zambia;Lusaka;Africa; 21.314.956 ; 20.017.675 ; 18.927.715 ; 16.248.230 ; 13.792.086 ; 9.891.136 ; 752.612 ; 265.976 ; 1.028 ; 11.423.820 ;115%; 25
31;Uganda;Kampala;Africa; 50.015.092 ; 47.249.585 ; 44.404.611 ; 37.477.356 ; 32.341.728 ; 24.020.697 ; 241.550 ; 19.561 ; 10.304 ; 25.994.395 ;108%; 59
